Id,Probability
0,0.06746113
1,0.044818018
2,0.012977012
3,0.079381086
4,0.08769949
5,0.030751834
6,0.05097352
7,0.035694797
8,0.0042199297
9,0.5457328
10,0.01070468
11,0.019444602
12,0.008973212
13,0.05538426
14,0.056474548
15,0.0116056455
16,0.029805839
17,0.013648983
18,0.18426144
19,0.09529272
20,0.009775758
21,0.013072538
22,0.0050312537
23,0.47381985
24,0.072004944
25,0.017022507
26,0.08480207
27,0.010938494
28,0.050069705
29,0.03971891
30,0.071598135
31,0.009132465
32,0.015677065
33,0.05513171
34,0.38599747
35,0.052808784
36,0.02788175
37,0.015338743
38,0.012319385
39,0.050042342
40,0.27216494
41,0.21454096
42,0.08467356
43,0.007123638
44,0.06833523
45,0.0041414956
46,0.0047712945
47,0.01831163
48,0.019333307
49,0.038153682
50,0.013481124
51,0.01442463
52,0.009704003
53,0.06326184
54,0.015065522
55,0.09519589
56,0.0069467085
57,0.1381272
58,0.10272832
59,0.102739744
60,0.019502746
61,0.011796795
62,0.016121734
63,0.008590507
64,0.013413601
65,0.01641312
66,0.015273795
67,0.097613595
68,0.0074324524
69,0.61236393
70,0.02341471
71,0.09400446
72,0.009026044
73,0.21941933
74,0.015123631
75,0.030327588
76,0.07033114
77,0.029901322
78,0.016372334
79,0.018466525
80,0.01618401
81,0.013678782
82,0.020460129
83,0.009459173
84,0.018862423
85,0.01243517
86,0.055106536
87,0.011702502
88,0.023935284
89,0.018072609
90,0.04107195
91,0.016700694
92,0.017288595
93,0.01888827
94,0.0062242295
95,0.07342945
96,0.03467538
97,0.07984323
98,0.01239546
99,0.013170052
100,0.05826484
101,0.0734042
102,0.008154035
103,0.058115944
104,0.08472614
105,0.024619492
106,0.28197914
107,0.013567446
108,0.008381697
109,0.01706647
110,0.04110236
111,0.024556635
112,0.019420952
113,0.46728206
114,0.09291124
115,0.009436829
116,0.005906848
117,0.08393705
118,0.01209472
119,0.009749018
120,0.011221142
121,0.071994595
122,0.013435015
123,0.55768657
124,0.01006079
125,0.015647188
126,0.0053636087
127,0.012411458
128,0.0060712635
129,0.054675397
130,0.0419784
131,0.071050815
132,0.0072626714
133,0.08610567
134,0.09001788
135,0.007887551
136,0.17437758
137,0.04913538
138,0.008954912
139,0.012845789
140,0.0061049475
141,0.012019196
142,0.0063812123
143,0.015234151
144,0.3337607
145,0.012587841
146,0.0073786844
147,0.11327571
148,0.0075762942
149,0.052194376
150,0.007821234
151,0.011098412
152,0.0068875533
153,0.01587166
154,0.0147463875
155,0.025886044
156,0.059422508
157,0.0077341762
158,0.09603586
159,0.016882213
160,0.0064700185
161,0.022914322
162,0.019041853
163,0.06241217
164,0.013297253
165,0.022941066
166,0.5617122
167,0.024672657
168,0.27332446
169,0.011031904
170,0.0063222805
171,0.011208889
172,0.014449203
173,0.042373497
174,0.013549722
175,0.30840454
176,0.0203396
177,0.0749988
178,0.018097442
179,0.012610952
180,0.045107447
181,0.009943453
182,0.01799016
183,0.014515996
184,0.12143585
185,0.01155998
186,0.009940852
187,0.033476375
188,0.05091471
189,0.016267499
190,0.013237675
191,0.041446697
192,0.016433364
193,0.05109347
194,0.012277073
195,0.03763291
196,0.010896873
197,0.009901905
198,0.009553365
199,0.007057965
200,0.06629112
201,0.02420052
202,0.34683356
203,0.033043407
204,0.03172953
205,0.009340487
206,0.022498244
207,0.005906848
208,0.079590924
209,0.0060435995
210,0.09674812
211,0.024000881
212,0.01659388
213,0.0091376705
214,0.022028623
215,0.068318576
216,0.012018318
217,0.08918279
218,0.015861029
219,0.006430731
220,0.015943598
221,0.010168617
222,0.015913693
223,0.012371986
224,0.01013907
225,0.06394969
226,0.010653204
227,0.05789728
228,0.05809667
229,0.45870584
230,0.22534087
231,0.011037119
232,0.012833152
233,0.0125264395
234,0.0052374676
235,0.23198804
236,0.048894178
237,0.0049285125
238,0.015160295
239,0.017704286
240,0.054503497
241,0.013318046
242,0.008580231
243,0.024598142
244,0.082889244
245,0.008783795
246,0.038791597
247,0.006122187
248,0.018459642
249,0.28068852
250,0.031898223
251,0.22551447
252,0.0076585836
253,0.08018075
254,0.005080526
255,0.010172524
256,0.042586025
257,0.22475706
258,0.054200023
259,0.09859772
260,0.013786266
261,0.021935156
262,0.0069251303
263,0.06694625
264,0.077501975
265,0.015245743
266,0.09068579
267,0.044722147
268,0.23334347
269,0.007609952
270,0.026708402
271,0.044529635
272,0.007626618
273,0.0139935035
274,0.011088221
275,0.025475184
276,0.018327167
277,0.009525545
278,0.05675509
279,0.0213146
280,0.6575781
281,0.046672028
282,0.056889314
283,0.010108621
284,0.008346057
285,0.010087625
286,0.0106221195
287,0.038849965
288,0.05973048
289,0.07361826
290,0.24088366
291,0.0066819647
292,0.038242307
293,0.011435247
294,0.0045295563
295,0.02789222
296,0.0112387305
297,0.03334384
298,0.005595743
299,0.007216891
300,0.06967826
301,0.0085491305
302,0.011600555
303,0.009727245
304,0.3691177
305,0.049530245
306,0.0049285125
